cid,name,category,material,shape,volume_cm3,mass_kg,install,why_for_sim,size_basis,source_tag,params
C011,Cu_SubstrateSupport_EdgeRod_3,thermal_link,Copper,x_cylinder_offaxis,0.2057743188101315,0.0018437378965387786,Thin Cu edge rod linking the open support rings to the deepest support disk.,Represents the requested multi-level frame/columns while staying outside the central TES/beam footprint.,Rod radius 1.0 mm; four edge rods keep stiffness proxy but minimize Cu mass.,User support-frame request + Cu-64 mitigation,"{""r_cm"": 0.1, ""x0_cm"": -2.65, ""x1_cm"": 3.9000000000000004, ""y_center_cm"": 1.95, ""z_center_cm"": -7.15}"
C012,Cu_SubstrateSupport_EdgeRod_4,thermal_link,Copper,x_cylinder_offaxis,0.2057743188101315,0.0018437378965387786,Thin Cu edge rod linking the open support rings to the deepest support disk.,Represents the requested multi-level frame/columns while staying outside the central TES/beam footprint.,Rod radius 1.0 mm; four edge rods keep stiffness proxy but minimize Cu mass.,User support-frame request + Cu-64 mitigation,"{""r_cm"": 0.1, ""x0_cm"": -2.65, ""x1_cm"": 3.9000000000000004, ""y_center_cm"": -1.95, ""z_center_cm"": -7.15}"
C013,Cu_ColdFinger_OffAxis_YP_ZP_from_Disk_to_Stem,thermal_link,Copper,x_cylinder_offaxis,0.21151715018089362,0.001895193665620807,One of four symmetric off-axis Cu thermal fingers from the downstream support disk to a matching vertical stem.,Provides thermal conductance without placing a Cu finger on the 511 keV beam axis.,Four 1.6 mm radius fingers give nearly the same total cross-section as the previous single 3.2 mm radius center finger; radial offset is large enough to clear the beam axis but remains inside the 2.2 cm support disk.,User requested four symmetric edge-biased but not edge-clipped thermal fingers + Cu-64 mitigation,"{""r_cm"": 0.16, ""x0_cm"": 3.42, ""x1_cm"": 6.05, ""y_center_cm"": 1.1, ""z_center_cm"": -4.1, ""radial_offset_from_beam_axis_cm"": 1.555634918610405, ""connects"": ""deepest support disk to its matching off-axis vertical stem"", ""passes_through_sample_box"": true, ""required_feedthroughs"": [""Nb +x thermal feedthrough"", ""Cryoperm +x thermal feedthrough"", ""Al 50mK +x thermal feedthrough""]}"
C014,Cu_ColdFinger_OffAxis_YM_ZP_from_Disk_to_Stem,thermal_link,Copper,x_cylinder_offaxis,0.21151715018089362,0.001895193665620807,One of four symmetric off-axis Cu thermal fingers from the downstream support disk to a matching vertical stem.,Provides thermal conductance without placing a Cu finger on the 511 keV beam axis.,Four 1.6 mm radius fingers give nearly the same total cross-section as the previous single 3.2 mm radius center finger; radial offset is large enough to clear the beam axis but remains inside the 2.2 cm support disk.,User requested four symmetric edge-biased but not edge-clipped thermal fingers + Cu-64 mitigation,"{""r_cm"": 0.16, ""x0_cm"": 3.42, ""x1_cm"": 6.05, ""y_center_cm"": -1.1, ""z_center_cm"": -4.1, ""radial_offset_from_beam_axis_cm"": 1.555634918610405, ""connects"": ""deepest support disk to its matching off-axis vertical stem"", ""passes_through_sample_box"": true, ""required_feedthroughs"": [""Nb +x thermal feedthrough"", ""Cryoperm +x thermal feedthrough"", ""Al 50mK +x thermal feedthrough""]}"
C015,Cu_ColdFinger_OffAxis_YP_ZM_from_Disk_to_Stem,thermal_link,Copper,x_cylinder_offaxis,0.27585696772641255,0.0024716784308286568,One of four symmetric off-axis Cu thermal fingers from the downstream support disk to a matching vertical stem.,Provides thermal conductance without placing a Cu finger on the 511 keV beam axis.,Four 1.6 mm radius fingers give nearly the same total cross-section as the previous single 3.2 mm radius center finger; radial offset is large enough to clear the beam axis but remains inside the 2.2 cm support disk.,User requested four symmetric edge-biased but not edge-clipped thermal fingers + Cu-64 mitigation,"{""r_cm"": 0.16, ""x0_cm"": 3.42, ""x1_cm"": 6.85, ""y_center_cm"": 1.1, ""z_center_cm"": -6.300000000000001, ""radial_offset_from_beam_axis_cm"": 1.555634918610405, ""connects"": ""deepest support disk to its matching off-axis vertical stem"", ""passes_through_sample_box"": true, ""required_feedthroughs"": [""Nb +x thermal feedthrough"", ""Cryoperm +x thermal feedthrough"", ""Al 50mK +x thermal feedthrough""]}"
C016,Cu_ColdFinger_OffAxis_YM_ZM_from_Disk_to_Stem,thermal_link,Copper,x_cylinder_offaxis,0.27585696772641255,0.0024716784308286568,One of four symmetric off-axis Cu thermal fingers from the downstream support disk to a matching vertical stem.,Provides thermal conductance without placing a Cu finger on the 511 keV beam axis.,Four 1.6 mm radius fingers give nearly the same total cross-section as the previous single 3.2 mm radius center finger; radial offset is large enough to clear the beam axis but remains inside the 2.2 cm support disk.,User requested four symmetric edge-biased but not edge-clipped thermal fingers + Cu-64 mitigation,"{""r_cm"": 0.16, ""x0_cm"": 3.42, ""x1_cm"": 6.85, ""y_center_cm"": -1.1, ""z_center_cm"": -6.300000000000001, ""radial_offset_from_beam_axis_cm"": 1.555634918610405, ""connects"": ""deepest support disk to its matching off-axis vertical stem"", ""passes_through_sample_box"": true, ""required_feedthroughs"": [""Nb +x thermal feedthrough"", ""Cryoperm +x thermal feedthrough"", ""Al 50mK +x thermal feedthrough""]}"
C017,Cu_ColdFinger_Stem_YP_ZP_to_MXC,thermal_link,Copper,z_cylinder_offaxis,0.3056141333412151,0.0027383026347372877,One of four off-axis vertical Cu stems connecting a thermal finger to the MXC clamp region.,Completes the thermal path to the MXC while keeping all stems away from the beam axis.,Stem radius matches the off-axis finger radius; each stem terminates at the MXC bottom interface.,User requested four symmetric off-axis thermal stems,"{""r_cm"": 0.16, ""x_center_cm"": 6.05, ""y_center_cm"": 1.1, ""z0_cm"": -4.1, ""z1_cm"": -0.3, ""connects"": ""off-axis thermal finger to MXC plate bottom / clamp pad"", ""passes_through_50mK_can_top_slot"": true}"
C018,Cu_ColdFinger_Stem_YM_ZP_to_MXC,thermal_link,Copper,z_cylinder_offaxis,0.3056141333412151,0.0027383026347372877,One of four off-axis vertical Cu stems connecting a thermal finger to the MXC clamp region.,Completes the thermal path to the MXC while keeping all stems away from the beam axis.,Stem radius matches the off-axis finger radius; each stem terminates at the MXC bottom interface.,User requested four symmetric off-axis thermal stems,"{""r_cm"": 0.16, ""x_center_cm"": 6.05, ""y_center_cm"": -1.1, ""z0_cm"": -4.1, ""z1_cm"": -0.3, ""connects"": ""off-axis thermal finger to MXC plate bottom / clamp pad"", ""passes_through_50mK_can_top_slot"": true}"
C019,Cu_ColdFinger_Stem_YP_ZM_to_MXC,thermal_link,Copper,z_cylinder_offaxis,0.4825486315913924,0.004323635739058876,One of four off-axis vertical Cu stems connecting a thermal finger to the MXC clamp region.,Completes the thermal path to the MXC while keeping all stems away from the beam axis.,Stem radius matches the off-axis finger radius; each stem terminates at the MXC bottom interface.,User requested four symmetric off-axis thermal stems,"{""r_cm"": 0.16, ""x_center_cm"": 6.85, ""y_center_cm"": 1.1, ""z0_cm"": -6.300000000000001, ""z1_cm"": -0.3, ""connects"": ""off-axis thermal finger to MXC plate bottom / clamp pad"", ""passes_through_50mK_can_top_slot"": true}"
C020,Cu_ColdFinger_Stem_YM_ZM_to_MXC,thermal_link,Copper,z_cylinder_offaxis,0.4825486315913924,0.004323635739058876,One of four off-axis vertical Cu stems connecting a thermal finger to the MXC clamp region.,Completes the thermal path to the MXC while keeping all stems away from the beam axis.,Stem radius matches the off-axis finger radius; each stem terminates at the MXC bottom interface.,User requested four symmetric off-axis thermal stems,"{""r_cm"": 0.16, ""x_center_cm"": 6.85, ""y_center_cm"": -1.1, ""z0_cm"": -6.300000000000001, ""z1_cm"": -0.3, ""connects"": ""off-axis thermal finger to MXC plate bottom / clamp pad"", ""passes_through_50mK_can_top_slot"": true}"
C021,Cu_MXC_Clamp_Pad_YP_ZP_for_OffAxisStem,thermal_link,Copper,z_cylinder_offaxis,0.07696902001294993,0.0006896424193160314,Compact Cu clamp pad for one off-axis thermal stem at the MXC interface.,Adds a local contact pad without recreating a large Cu sample box.,"7 mm diameter, 2 mm thick pad, matched to the smaller off-axis stem bundle.",Engineering proxy,"{""r_cm"": 0.35, ""x_center_cm"": 6.05, ""y_center_cm"": 1.1, ""z0_cm"": -0.5, ""z1_cm"": -0.3, ""connects"": ""matching off-axis stem to the MXC plate bottom""}"
C022,Cu_MXC_Clamp_Pad_YM_ZP_for_OffAxisStem,thermal_link,Copper,z_cylinder_offaxis,0.07696902001294993,0.0006896424193160314,Compact Cu clamp pad for one off-axis thermal stem at the MXC interface.,Adds a local contact pad without recreating a large Cu sample box.,"7 mm diameter, 2 mm thick pad, matched to the smaller off-axis stem bundle.",Engineering proxy,"{""r_cm"": 0.35, ""x_center_cm"": 6.05, ""y_center_cm"": -1.1, ""z0_cm"": -0.5, ""z1_cm"": -0.3, ""connects"": ""matching off-axis stem to the MXC plate bottom""}"
C023,Cu_MXC_Clamp_Pad_YP_ZM_for_OffAxisStem,thermal_link,Copper,z_cylinder_offaxis,0.07696902001294993,0.0006896424193160314,Compact Cu clamp pad for one off-axis thermal stem at the MXC interface.,Adds a local contact pad without recreating a large Cu sample box.,"7 mm diameter, 2 mm thick pad, matched to the smaller off-axis stem bundle.",Engineering proxy,"{""r_cm"": 0.35, ""x_center_cm"": 6.85, ""y_center_cm"": 1.1, ""z0_cm"": -0.5, ""z1_cm"": -0.3, ""connects"": ""matching off-axis stem to the MXC plate bottom""}"
C024,Cu_MXC_Clamp_Pad_YM_ZM_for_OffAxisStem,thermal_link,Copper,z_cylinder_offaxis,0.07696902001294993,0.0006896424193160314,Compact Cu clamp pad for one off-axis thermal stem at the MXC interface.,Adds a local contact pad without recreating a large Cu sample box.,"7 mm diameter, 2 mm thick pad, matched to the smaller off-axis stem bundle.",Engineering proxy,"{""r_cm"": 0.35, ""x_center_cm"": 6.85, ""y_center_cm"": -1.1, ""z0_cm"": -0.5, ""z1_cm"": -0.3, ""connects"": ""matching off-axis stem to the MXC plate bottom""}"
C025,Nb_SideEntry_Sample_Can_with_side_aperture,magnetic_sample_can,Nb,x_can,19.729594563625596,0.16908262541027136,Horizontal Nb enclosure around the TES module; side-entry aperture on the -x face and service/cold-finger slot on +x face. Side port is an explicit CSG aperture in this minimal patch. The +x cap includes four declared off-axis thermal-finger feedthroughs.,Replaces the removed Cu sample box as the nearest local enclosure while reducing Cu-64 beta-plus/511-keV risk.,Inner radius clears 2.2 cm substrates plus harness and rail; 0.5 mm Nb wall is a superconducting magnetic shield proxy.,DIXE hybrid Nb/Cryoperm shield + user Cu-64 mitigation,"{""r_in_cm"": 4.0, ""r_out_cm"": 4.05, ""x0_cm"": -5.8, ""x1_cm"": 6.2, ""axis_y_cm"": 0.0, ""axis_z_cm"": -5.2, ""minus_x_aperture_r_cm"": 1.95, ""plus_x_cap_slots"": [""Cu cold-finger rail/stem slot"", ""readout slot""], ""side_port_csg_authority"": true, ""side_port_radius_cm"": 2.05, ""side_port_axis"": ""-x_to_+x, centered at y=0,z=-5.2"", ""plus_x_thermal_finger_feedthroughs"": [{""for_component"": ""Cu_ColdFinger_OffAxis_YP_ZP_from_Disk_to_Stem"", ""axis_y_cm"": 1.1, ""axis_z_cm"": -4.1, ""clear_radius_cm"": 0.24, ""note"": ""Required hole/slot in the +x cap so this off-axis copper finger passes through the sample-box replacement shell.""}, {""for_component"": ""Cu_ColdFinger_OffAxis_YM_ZP_from_Disk_to_Stem"", ""axis_y_cm"": -1.1, ""axis_z_cm"": -4.1, ""clear_radius_cm"": 0.24, ""note"": ""Required hole/slot in the +x cap so this off-axis copper finger passes through the sample-box replacement shell.""}, {""for_component"": ""Cu_ColdFinger_OffAxis_YP_ZM_from_Disk_to_Stem"", ""axis_y_cm"": 1.1, ""axis_z_cm"": -6.300000000000001, ""clear_radius_cm"": 0.24, ""note"": ""Required hole/slot in the +x cap so this off-axis copper finger passes through the sample-box replacement shell.""}, {""for_component"": ""Cu_ColdFinger_OffAxis_YM_ZM_from_Disk_to_Stem"", ""axis_y_cm"": -1.1, ""axis_z_cm"": -6.300000000000001, ""clear_radius_cm"": 0.24, ""note"": ""Required hole/slot in the +x cap so this off-axis copper finger passes through the sample-box replacement shell.""}]}"
C026,Cryoperm_Horizontal_Sleeve_1p2mm,magnetic_shield,Cryoperm,x_can,53.910974006291724,0.469025473854738,Outer high-permeability magnetic sleeve around the Nb can; side aperture aligned with the optical path. Side port is an explicit CSG aperture in this minimal patch. The +x cap includes four declared off-axis thermal-finger feedthroughs.,TES/SQUID require magnetic attenuation; using 1.2 mm instead of the old 4.5 mm reduces Ni-rich activation mass while retaining a magnetic-shield proxy.,DIXE explicitly uses outer Cryoperm + inner Nb hybrid magnetic shield; 1.2 mm is chosen as a light nominal with 4.5 mm kept as a systematic.,DIXE detector assembly,"{""r_in_cm"": 4.25, ""r_out_cm"": 4.37, ""x0_cm"": -6.1, ""x1_cm"": 6.5, ""axis_y_cm"": 0.0, ""axis_z_cm"": -5.2, ""minus_x_aperture_r_cm"": 1.95, ""plus_x_cap_slots"": [""cold-finger/readout slot""], ""wall_cm"": 0.12, ""side_port_csg_authority"": true, ""side_port_radius_cm"": 2.05, ""side_port_axis"": ""-x_to_+x, centered at y=0,z=-5.2"", ""plus_x_thermal_finger_feedthroughs"": [{""for_component"": ""Cu_ColdFinger_OffAxis_YP_ZP_from_Disk_to_Stem"", ""axis_y_cm"": 1.1, ""axis_z_cm"": -4.1, ""clear_radius_cm"": 0.24, ""note"": ""Required hole/slot in the +x cap so this off-axis copper finger passes through the sample-box replacement shell.""}, {""for_component"": ""Cu_ColdFinger_OffAxis_YM_ZP_from_Disk_to_Stem"", ""axis_y_cm"": -1.1, ""axis_z_cm"": -4.1, ""clear_radius_cm"": 0.24, ""note"": ""Required hole/slot in the +x cap so this off-axis copper finger passes through the sample-box replacement shell.""}, {""for_component"": ""Cu_ColdFinger_OffAxis_YP_ZM_from_Disk_to_Stem"", ""axis_y_cm"": 1.1, ""axis_z_cm"": -6.300000000000001, ""clear_radius_cm"": 0.24, ""note"": ""Required hole/slot in the +x cap so this off-axis copper finger passes through the sample-box replacement shell.""}, {""for_component"": ""Cu_ColdFinger_OffAxis_YM_ZM_from_Disk_to_Stem"", ""axis_y_cm"": -1.1, ""axis_z_cm"": -6.300000000000001, ""clear_radius_cm"": 0.24, ""note"": ""Required hole/slot in the +x cap so this off-axis copper finger passes through the sample-box replacement shell.""}]}"
C027,Al_50mK_Local_Can_side_entry,cryostat_shell,Aluminium,x_can,40.624135665499516,0.10968516629684871,Local 50 mK Al radiation can around the magnetic sample can. Side port is an explicit CSG aperture in this minimal patch. The +x cap and upper wall include four declared off-axis thermal-finger feedthroughs and stem slots.,Radiation shield and local activation/scattering mass nearest the detector; carries the 50 mK side filter.,"0.8 mm Al wall; top of can remains below the MXC plate, avoiding the v3p2 top-bore problem.",Flight microcalorimeter nested-shield practice,"{""r_in_cm"": 4.5, ""r_out_cm"": 4.58, ""x0_cm"": -6.6, ""x1_cm"": 7.0, ""axis_y_cm"": 0.0, ""axis_z_cm"": -5.2, ""minus_x_aperture_r_cm"": 1.95, ""plus_x_cap_slots"": [""cold-finger/readout slot""], ""side_port_csg_authority"": true, ""side_port_radius_cm"": 2.05, ""side_port_axis"": ""-x_to_+x, centered at y=0,z=-5.2"", ""plus_x_thermal_finger_feedthroughs"": [{""for_component"": ""Cu_ColdFinger_OffAxis_YP_ZP_from_Disk_to_Stem"", ""axis_y_cm"": 1.1, ""axis_z_cm"": -4.1, ""clear_radius_cm"": 0.24, ""note"": ""Required hole/slot in the +x cap so this off-axis copper finger passes through the sample-box replacement shell.""}, {""for_component"": ""Cu_ColdFinger_OffAxis_YM_ZP_from_Disk_to_Stem"", ""axis_y_cm"": -1.1, ""axis_z_cm"": -4.1, ""clear_radius_cm"": 0.24, ""note"": ""Required hole/slot in the +x cap so this off-axis copper finger passes through the sample-box replacement shell.""}, {""for_component"": ""Cu_ColdFinger_OffAxis_YP_ZM_from_Disk_to_Stem"", ""axis_y_cm"": 1.1, ""axis_z_cm"": -6.300000000000001, ""clear_radius_cm"": 0.24, ""note"": ""Required hole/slot in the +x cap so this off-axis copper finger passes through the sample-box replacement shell.""}, {""for_component"": ""Cu_ColdFinger_OffAxis_YM_ZM_from_Disk_to_Stem"", ""axis_y_cm"": -1.1, ""axis_z_cm"": -6.300000000000001, ""clear_radius_cm"": 0.24, ""note"": ""Required hole/slot in the +x cap so this off-axis copper finger passes through the sample-box replacement shell.""}], ""top_stem_slots"": [{""for_component"": ""Cu_ColdFinger_Stem_YP_ZP_to_MXC"", ""x_center_cm"": 6.05, ""y_center_cm"": 1.1, ""clear_radius_cm"": 0.24, ""note"": ""Required upper slot so this vertical stem reaches the MXC clamp pad.""}, {""for_component"": ""Cu_ColdFinger_Stem_YM_ZP_to_MXC"", ""x_center_cm"": 6.05, ""y_center_cm"": -1.1, ""clear_radius_cm"": 0.24, ""note"": ""Required upper slot so this vertical stem reaches the MXC clamp pad.""}, {""for_component"": ""Cu_ColdFinger_Stem_YP_ZM_to_MXC"", ""x_center_cm"": 6.85, ""y_center_cm"": 1.1, ""clear_radius_cm"": 0.24, ""note"": ""Required upper slot so this vertical stem reaches the MXC clamp pad.""}, {""for_component"": ""Cu_ColdFinger_Stem_YM_ZM_to_MXC"", ""x_center_cm"": 6.85, ""y_center_cm"": -1.1, ""clear_radius_cm"": 0.24, ""note"": ""Required upper slot so this vertical stem reaches the MXC clamp pad.""}]}"
C028,ColdPlate_MXC_50mK_SD_anchor,cold_plate,Copper,z_cylinder,103.22016822634625,0.9248527073080625,Stage plate mounted in the vertical DR/service tower; plates grow with temperature and support colder shields from above.,Major local mass for scattering/activation and the mechanical anchor for shields/DR plumbing.,MXC plate at bottom of DR tower; detector bay hangs below it.  Ø148 mm matches SD-class MXC flange scale.,Bluefors stage inventory + SD flange anchor + flight compact spacing,"{""r_cm"": 7.4, ""h_cm"": 0.6, ""z_center_cm"": 0.0}"
C029,ColdPlate_CP_100mK_intercept,cold_plate,Copper,z_cylinder,95.56724852220151,0.8562825467589256,Stage plate mounted in the vertical DR/service tower; plates grow with temperature and support colder shields from above.,Major local mass for scattering/activation and the mechanical anchor for shields/DR plumbing.,Intermediate cold plate / 100 mK intercept retained in nominal; delete-CP is a systematic for mini/open-cycle DR.,Bluefors stage inventory + SD flange anchor + flight compact spacing,"{""r_cm"": 7.8, ""h_cm"": 0.5, ""z_center_cm"": 5.0}"
C030,ColdPlate_Still_0p7K,cold_plate,Copper,z_cylinder,145.97096105639616,1.3078998110653097,Stage plate mounted in the vertical DR/service tower; plates grow with temperature and support colder shields from above.,Major local mass for scattering/activation and the mechanical anchor for shields/DR plumbing.,Still flange; still shield hangs from its rim.,Bluefors stage inventory + SD flange anchor + flight compact spacing,"{""r_cm"": 8.8, ""h_cm"": 0.6, ""z_center_cm"": 11.0}"
C031,ColdPlate_4K,cold_plate,Copper,z_cylinder,203.8767968473632,1.8267360997523745,Stage plate mounted in the vertical DR/service tower; plates grow with temperature and support colder shields from above.,Major local mass for scattering/activation and the mechanical anchor for shields/DR plumbing.,4 K flange with condenser/intercept hardware.,Bluefors stage inventory + SD flange anchor + flight compact spacing,"{""r_cm"": 10.4, ""h_cm"": 0.6, ""z_center_cm"": 20.0}"
C032,ColdPlate_60K,cold_plate,Aluminium,z_cylinder,311.4166549723954,0.8408249684254676,Stage plate mounted in the vertical DR/service tower; plates grow with temperature and support colder shields from above.,Major local mass for scattering/activation and the mechanical anchor for shields/DR plumbing.,First-stage 50/60 K flange and radiation-shield support.,Bluefors stage inventory + SD flange anchor + flight compact spacing,"{""r_cm"": 11.9, ""h_cm"": 0.7, ""z_center_cm"": 29.0}"
C033,Plate_300K_Top_Service_Lid,vacuum_jacket,Aluminium,z_cylinder,598.2849049496402,1.6153692433640288,Stage plate mounted in the vertical DR/service tower; plates grow with temperature and support colder shields from above.,Major local mass for scattering/activation and the mechanical anchor for shields/DR plumbing.,Room-temperature top lid: services exit upward; side optical access avoids trying to observe through this plate.,Bluefors stage inventory + SD flange anchor + flight compact spacing,"{""r_cm"": 13.8, ""h_cm"": 1.0, ""z_center_cm"": 38.0}"
